ISBN;count
0316666343;224
0385504209;178
0312195516;130
0142001740;128
0060928336;120
059035342X;118
0446672211;113
043935806X;108
0345337662;107
0316601950;105
0671027360;101
0452282152;100
0743418174;98
044021145X;97
0446310786;93
0345370775;92
067976402X;91
0156027321;90
0375727345;90
0440211727;90
0316769487;89
0786868716;86
0671003755;84
0440214041;83
0385484518;82
0440226430;82
0446605239;81
044023722X;81
0439136350;81
0671021001;81
0446610038;80
0439064864;79
0060976845;79
0312278586;76
0439139597;76
0060930535;75
0345313860;75
0440213525;74
0060987103;73
0439064872;72
014028009X;72
0345361792;71
0440206154;70
0590353403;70
0804106304;69
0385335482;69
0971880107;69
0375706771;68
0345342968;68
1400034779;66
0671001795;66
0060934417;65
0316776963;65
0061009059;64
0440220602;64
0375726403;64
0345339681;63
0553279912;63
0440221471;63
0060502258;63
0312966970;62
0140293248;62
0439136369;61
0385722206;61
0375707972;60
0440224764;60
0312924585;60
0316096199;60
0842329129;59
0399501487;59
0060392452;58
0440234743;57
0312980140;57
0060938455;57
0452282829;56
0345353145;56
0312966091;56
0312305060;56
0440236673;56
0553280341;55
0316284955;55
068484477X;54
0385505833;54
0312971346;54
0440225701;54
0064407667;54
034538475X;54
0312291639;53
044651652X;53
0316569321;53
0312976275;52
0446606812;52
0060915544;52
0385335881;51
0439139600;51
044022165X;51
0142000205;51
0440241073;51
0446608955;50
0345380371;50
